Time,root.CNNP.QF.1#.QF1RCV036MD.numvalue
2019-04-20T02:09:33.000+08:00,775.8
2019-04-20T06:28:33.000+08:00,774.7
2019-04-20T07:24:07.000+08:00,775.8
2019-04-20T07:54:06.000+08:00,776.8
2019-04-20T08:56:31.000+08:00,777.8
2019-04-20T09:28:02.000+08:00,776.8
2019-04-20T10:00:56.000+08:00,775.8
2019-04-20T10:09:40.000+08:00,776.8
2019-04-20T10:19:49.000+08:00,775.8
2019-04-20T10:20:11.000+08:00,774.7
2019-04-20T10:26:39.000+08:00,775.8
2019-04-20T10:40:44.000+08:00,776.8
2019-04-20T10:46:25.000+08:00,777.8
2019-04-20T11:02:45.000+08:00,778.8
2019-04-20T11:04:04.000+08:00,778.9
2019-04-20T11:56:22.000+08:00,777.8
2019-04-20T11:56:23.000+08:00,777.8
2019-04-20T11:57:20.000+08:00,776.8
2019-04-20T11:57:25.000+08:00,776.7
2019-04-20T11:57:48.000+08:00,775.8
2019-04-20T11:57:54.000+08:00,775.7
2019-04-20T11:58:35.000+08:00,774.8
2019-04-20T11:58:42.000+08:00,774.6
2019-04-20T12:02:28.000+08:00,775.6
2019-04-20T12:02:42.000+08:00,775.8
2019-04-20T12:04:16.000+08:00,776.7
2019-04-20T12:04:43.000+08:00,776.8
2019-04-20T12:21:41.000+08:00,775.8
2019-04-20T12:21:44.000+08:00,775.6
2019-04-20T12:22:33.000+08:00,774.8
2019-04-20T12:25:54.000+08:00,775.8
2019-04-20T12:29:31.000+08:00,776.7
2019-04-20T12:32:30.000+08:00,776.8
2019-04-20T13:21:08.000+08:00,775.8
2019-04-20T13:21:15.000+08:00,775.6
2019-04-20T13:21:50.000+08:00,774.7
2019-04-20T13:21:53.000+08:00,774.6
2019-04-20T13:25:42.000+08:00,775.6
2019-04-20T13:26:09.000+08:00,775.8
2019-04-20T13:55:05.000+08:00,774.7
2019-04-20T13:55:08.000+08:00,774.6
2019-04-20T14:04:55.000+08:00,775.6
2019-04-20T14:07:06.000+08:00,775.7
2019-04-20T14:16:57.000+08:00,774.7
2019-04-20T14:17:05.000+08:00,774.6
2019-04-20T14:17:50.000+08:00,773.7
2019-04-20T14:24:22.000+08:00,774.7
2019-04-20T14:37:10.000+08:00,773.6
2019-04-20T14:37:15.000+08:00,773.6
2019-04-20T15:16:08.000+08:00,774.6
2019-04-20T15:22:16.000+08:00,774.7
2019-04-20T15:30:24.000+08:00,773.6
2019-04-20T15:30:26.000+08:00,773.6
2019-04-20T15:57:45.000+08:00,774.6
2019-04-20T16:01:41.000+08:00,774.7
2019-04-20T16:09:11.000+08:00,773.6
2019-04-20T16:09:13.000+08:00,773.6
2019-04-20T16:12:32.000+08:00,774.6
2019-04-20T16:13:00.000+08:00,774.7
2019-04-20T16:27:35.000+08:00,773.6
2019-04-20T16:30:09.000+08:00,774.7
2019-04-20T16:47:54.000+08:00,773.6
2019-04-20T16:51:01.000+08:00,774.6
2019-04-20T17:10:14.000+08:00,773.6
2019-04-20T17:13:31.000+08:00,774.6
2019-04-20T17:13:34.000+08:00,774.6
2019-04-20T17:32:39.000+08:00,773.6
2019-04-20T17:33:09.000+08:00,772.5
2019-04-20T17:35:39.000+08:00,773.6
2019-04-20T17:35:40.000+08:00,773.6
2019-04-20T17:37:34.000+08:00,774.6
2019-04-20T17:37:37.000+08:00,774.6
2019-04-20T18:12:41.000+08:00,775.6
2019-04-20T18:13:14.000+08:00,775.6
2019-04-20T19:17:02.000+08:00,774.6
2019-04-20T19:17:04.000+08:00,774.6
2019-04-20T19:22:06.000+08:00,775.6
2019-04-20T19:24:22.000+08:00,775.6
2019-04-20T23:01:21.000+08:00,776.6
2019-04-20T23:01:27.000+08:00,776.7
2019-04-20T23:09:28.000+08:00,777.7
2019-04-20T23:09:34.000+08:00,777.7
2019-04-20T23:15:39.000+08:00,778.7
2019-04-20T23:16:26.000+08:00,778.7
2019-04-20T23:41:57.000+08:00,777.7
2019-04-20T23:41:59.000+08:00,777.6
2019-04-20T23:42:22.000+08:00,776.7
2019-04-20T23:42:24.000+08:00,776.6
2019-04-20T23:42:53.000+08:00,775.6
2019-04-20T23:42:56.000+08:00,775.6
2019-04-20T23:45:30.000+08:00,776.6
2019-04-20T23:45:39.000+08:00,776.7
2019-04-20T23:46:49.000+08:00,777.6
2019-04-20T23:46:50.000+08:00,777.7
2019-04-21T00:13:55.000+08:00,776.6
2019-04-21T00:14:20.000+08:00,775.5
2019-04-21T00:14:21.000+08:00,775.5
2019-04-21T00:14:46.000+08:00,774.5
2019-04-21T00:14:48.000+08:00,774.5
2019-04-21T00:16:50.000+08:00,775.5
2019-04-21T00:16:51.000+08:00,775.5
2019-04-21T00:17:49.000+08:00,776.5
2019-04-21T00:17:53.000+08:00,776.6
2019-04-21T00:20:03.000+08:00,777.5
2019-04-21T00:20:19.000+08:00,777.6
2019-04-21T00:32:31.000+08:00,776.6
2019-04-21T00:32:32.000+08:00,776.5
2019-04-21T00:32:49.000+08:00,775.5
2019-04-21T00:32:50.000+08:00,775.4
2019-04-21T00:33:03.000+08:00,774.5
2019-04-21T00:33:06.000+08:00,774.3
2019-04-21T00:35:17.000+08:00,775.4
2019-04-21T00:35:28.000+08:00,775.5
2019-04-21T00:36:21.000+08:00,776.4
2019-04-21T00:36:29.000+08:00,776.6
2019-04-21T00:49:38.000+08:00,775.5
2019-04-21T00:49:42.000+08:00,775.4
2019-04-21T00:49:57.000+08:00,774.5
2019-04-21T00:52:40.000+08:00,775.4
2019-04-21T00:52:48.000+08:00,775.6
2019-04-21T00:53:56.000+08:00,776.4
2019-04-21T00:54:23.000+08:00,776.6
2019-04-21T01:06:52.000+08:00,775.5
2019-04-21T01:06:56.000+08:00,775.4
2019-04-21T01:07:08.000+08:00,774.5
2019-04-21T01:07:15.000+08:00,774.3
2019-04-21T01:09:28.000+08:00,775.3
2019-04-21T01:09:52.000+08:00,775.5
2019-04-21T01:11:06.000+08:00,776.4
2019-04-21T01:11:37.000+08:00,776.6
2019-04-21T01:28:35.000+08:00,775.5
2019-04-21T01:28:42.000+08:00,775.3
2019-04-21T01:29:03.000+08:00,774.5
2019-04-21T01:29:07.000+08:00,774.3
2019-04-21T01:30:54.000+08:00,775.3
2019-04-21T01:31:00.000+08:00,775.5
2019-04-21T01:32:02.000+08:00,776.4
2019-04-21T01:32:27.000+08:00,776.5
2019-04-21T01:47:32.000+08:00,775.5
2019-04-21T01:47:34.000+08:00,775.3
2019-04-21T01:47:51.000+08:00,774.5
2019-04-21T01:47:55.000+08:00,774.3
2019-04-21T01:49:28.000+08:00,775.3
2019-04-21T01:49:38.000+08:00,775.5
2019-04-21T01:51:00.000+08:00,776.4
2019-04-21T01:51:35.000+08:00,776.5
2019-04-21T02:19:29.000+08:00,775.5
2019-04-21T02:19:32.000+08:00,775.3
2019-04-21T02:22:19.000+08:00,776.4
2019-04-21T02:22:55.000+08:00,776.5
2019-04-21T02:45:27.000+08:00,775.5
2019-04-21T02:45:39.000+08:00,775.3
2019-04-21T02:47:22.000+08:00,776.4
2019-04-21T02:47:47.000+08:00,776.5
2019-04-21T03:00:59.000+08:00,775.5
